@RELATION features_train_p1

@ATTRIBUTE f0 {True, False}
@ATTRIBUTE stance {NONE,OTHER}

@DATA
True,OTHER
False,OTHER
False,NONE
False,OTHER
False,NONE
True,OTHER
False,OTHER
True,OTHER
False,OTHER
False,NONE
False,OTHER
True,OTHER
False,OTHER
True,NONE
False,OTHER
False,OTHER
False,OTHER
True,OTHER
False,NONE
False,OTHER
False,NONE
False,OTHER
False,OTHER
True,NONE
True,OTHER
False,OTHER
False,OTHER
True,NONE
False,NONE
False,OTHER
False,OTHER
False,OTHER
False,NONE
False,OTHER
True,NONE
True,NONE
False,OTHER
False,NONE
False,NONE
True,OTHER
True,OTHER
True,OTHER
True,NONE
False,OTHER
False,NONE
False,NONE
True,OTHER
False,NONE
True,OTHER
False,OTHER
False,OTHER
True,NONE
True,NONE
True,NONE
False,NONE
True,NONE
True,OTHER
True,NONE
False,NONE
False,OTHER
False,NONE
False,OTHER
True,OTHER
True,OTHER
False,OTHER
False,OTHER
True,OTHER
False,OTHER
True,NONE
False,OTHER
True,OTHER
False,OTHER
True,NONE
True,OTHER
True,OTHER
True,OTHER
False,OTHER
True,NONE
False,OTHER
False,OTHER
True,OTHER
False,OTHER
True,OTHER
False,NONE
True,OTHER
False,OTHER
False,NONE
False,NONE
False,NONE
True,OTHER
False,OTHER
False,NONE
False,NONE
True,OTHER
True,OTHER
True,OTHER
True,OTHER
False,OTHER
False,OTHER
True,OTHER
False,OTHER
True,NONE
True,OTHER
False,NONE
False,OTHER
False,NONE
False,NONE
False,NONE
False,NONE
True,OTHER
False,NONE
True,NONE
False,OTHER
True,NONE
False,NONE
True,OTHER
False,NONE
False,NONE
False,NONE
True,OTHER
True,OTHER
False,NONE
False,NONE
True,NONE
False,OTHER
False,NONE
True,NONE
False,NONE
True,NONE
False,NONE
False,OTHER
True,OTHER
False,OTHER
True,NONE
True,OTHER
False,OTHER
False,NONE
True,NONE
True,NONE
True,NONE
True,NONE
True,NONE
False,NONE
False,NONE
False,NONE
True,OTHER
False,OTHER
False,NONE
False,NONE
True,OTHER
False,NONE
False,OTHER
True,NONE
True,OTHER
True,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
False,NONE
False,NONE
False,OTHER
False,OTHER
False,OTHER
False,OTHER
False,NONE
True,OTHER
False,OTHER
False,NONE
True,NONE
False,NONE
False,NONE
False,OTHER
True,OTHER
False,OTHER
False,OTHER
True,OTHER
False,NONE
True,OTHER
False,NONE
False,OTHER
False,OTHER
False,NONE
True,NONE
True,OTHER
False,NONE
False,OTHER
True,OTHER
False,NONE
False,OTHER
False,OTHER
True,NONE
False,OTHER
False,NONE
True,OTHER
False,OTHER
True,OTHER
False,NONE
True,OTHER
False,NONE
True,OTHER
False,NONE
True,NONE
False,NONE
True,NONE
True,OTHER
False,OTHER
False,OTHER
True,NONE
True,OTHER
False,OTHER
False,OTHER
True,NONE
False,OTHER
False,OTHER
False,OTHER
True,NONE
False,OTHER
False,NONE
False,NONE
True,NONE
False,NONE
False,OTHER
False,OTHER
True,OTHER
False,NONE
False,NONE
False,OTHER
True,NONE
False,OTHER
False,NONE
True,NONE
True,OTHER
True,OTHER
False,OTHER
True,OTHER
True,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
True,OTHER
False,NONE
True,OTHER
True,OTHER
True,OTHER
False,OTHER
False,OTHER
True,OTHER
True,OTHER
False,OTHER
True,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
True,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
True,OTHER
False,OTHER
True,OTHER
False,OTHER
False,OTHER
True,OTHER
False,OTHER
False,OTHER
True,OTHER
True,OTHER
True,OTHER
False,OTHER
False,OTHER
False,OTHER
True,OTHER
True,OTHER
False,OTHER
False,OTHER
True,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
True,OTHER
True,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
True,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
True,OTHER
True,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
True,OTHER
True,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
True,OTHER
False,OTHER
False,OTHER
True,OTHER
True,OTHER
False,OTHER
False,OTHER
True,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
True,OTHER
True,OTHER
False,OTHER
False,OTHER
True,OTHER
False,OTHER
False,OTHER
True,OTHER
False,OTHER
True,OTHER
False,OTHER
False,OTHER
False,OTHER
True,OTHER
False,OTHER
False,OTHER
True,OTHER
False,OTHER
False,OTHER
False,OTHER
True,OTHER
True,OTHER
True,OTHER
True,OTHER
False,OTHER
True,OTHER
False,OTHER
False,OTHER
True,OTHER
True,OTHER
False,OTHER
False,OTHER
False,OTHER
True,OTHER
True,OTHER
True,OTHER
False,OTHER
False,OTHER
False,NONE
True,NONE
False,OTHER
False,OTHER
False,OTHER
False,NONE
True,OTHER
False,OTHER
True,NONE
False,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
True,OTHER
False,OTHER
False,OTHER
False,OTHER
True,OTHER
False,OTHER
True,OTHER
False,NONE
True,OTHER
False,OTHER
False,OTHER
False,OTHER
True,OTHER
False,OTHER
False,NONE
False,OTHER
True,NONE
False,NONE
False,NONE
False,OTHER
False,NONE
False,OTHER
False,OTHER
True,NONE
False,NONE
True,NONE
False,NONE
True,OTHER
True,OTHER
True,NONE
False,OTHER
False,NONE
False,OTHER
False,OTHER
False,NONE
False,OTHER
True,OTHER
False,NONE
False,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
True,OTHER
False,OTHER
True,OTHER
True,OTHER
False,OTHER
True,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
True,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
True,OTHER
False,OTHER
True,OTHER
True,OTHER
False,OTHER
False,OTHER
False,OTHER
True,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
False,OTHER
True,OTHER
False,OTHER
False,OTHER
False,OTHER
True,OTHER
False,OTHER
False,OTHER
